age,annual_income_inr,debt_to_income,credit_utilization,late_payments_12m,accounts_open,loan_amount_inr,employment_length_years,has_mortgage,is_self_employed,region,payment_history_score,default
53,697137,0.246,0.161,2,2,661285,1,1,0,South,0.481,0
40,465052,0.355,0.279,1,6,207374,7,1,1,North,0.605,0
28,796771,0.199,0.521,0,10,286314,2,0,1,North,0.732,0
54,425436,0.632,0.433,0,3,508142,16,0,0,Central,0.801,0
43,341665,0.632,0.664,1,10,749562,19,1,1,South,0.551,0
28,160022,0.426,0.381,2,3,537588,2,1,1,Central,0.551,0
38,208717,0.53,0.829,0,11,57970,21,0,1,North,0.773,0
68,375888,0.43,0.577,0,5,475178,18,0,1,North,0.712,1
34,305552,0.221,0.374,1,5,170794,23,0,1,West,0.755,0
29,678309,0.199,0.539,2,9,580195,9,1,1,South,0.598,0
54,300149,0.317,0.895,0,6,426597,2,0,1,West,0.825,1
30,120000,0.172,0.29,1,4,95431,5,1,1,East,0.816,0
66,339022,0.369,0.596,0,5,521031,7,1,1,East,0.794,0
63,482035,0.324,0.729,0,3,405791,10,1,1,East,0.631,0
69,448637,0.167,0.407,2,5,379683,14,1,1,West,0.628,0
65,979881,0.106,0.771,1,6,305997,28,0,0,East,0.672,0
32,446614,0.304,0.295,1,8,195267,19,1,1,South,0.435,0
31,820230,0.177,0.891,0,4,423458,18,1,0,East,0.638,1
37,595254,0.145,0.592,1,3,740316,25,1,1,North,0.829,1
44,589423,0.352,0.694,2,11,681641,18,1,0,South,0.573,0
64,391154,0.225,0.691,1,10,263121,4,0,1,North,0.969,0
56,585304,0.439,0.105,1,9,10000,22,1,0,West,0.508,0
52,408725,0.102,0.853,2,4,190482,18,1,1,East,0.554,0
64,642506,0.338,0.74,3,5,329216,24,1,1,North,0.593,0
52,540937,0.186,0.201,1,8,357046,20,0,0,West,0.782,0
39,363843,0.133,0.555,0,2,479690,17,0,0,South,0.644,0
41,847973,0.19,0.634,0,11,445230,2,0,0,North,0.512,0
46,706710,0.152,0.541,2,3,448186,13,0,0,North,0.776,0
25,487984,0.191,0.619,0,3,173314,6,1,0,East,0.735,0
57,636373,0.711,0.503,1,9,195393,2,0,1,North,0.58,0
52,579044,0.118,0.298,2,4,83708,20,0,0,East,0.955,0
56,383102,0.318,0.684,1,6,351989,23,0,0,West,0.805,0
47,617624,0.471,0.747,1,11,473034,2,1,0,South,0.782,0
59,444747,0.432,0.223,3,3,513805,7,0,1,West,0.606,0
67,363766,0.084,0.581,0,2,10000,24,0,1,South,0.542,0
48,194308,0.281,0.265,2,7,394101,4,1,1,East,0.913,1
42,510348,0.091,0.617,1,1,91592,21,0,1,West,0.563,0
26,741742,0.869,0.621,1,8,418041,28,0,0,East,0.775,0
59,426335,0.471,0.22,0,3,90266,27,1,0,West,0.836,0
65,1230177,0.23,0.097,1,4,446902,19,0,0,East,0.486,0
55,821421,0.309,0.472,1,5,170517,29,1,1,North,0.665,0
63,926082,0.079,0.49,0,2,174758,17,1,1,Central,0.551,0
63,798810,0.615,0.479,0,10,460702,26,0,1,South,0.752,0
60,1063216,0.223,0.366,0,7,189679,20,0,0,West,0.573,0
45,403249,0.249,0.469,1,4,491759,10,0,1,North,0.564,0
25,120000,0.112,0.331,1,7,448384,10,0,0,South,0.499,0
21,488468,0.703,0.705,0,4,277745,21,0,0,East,0.685,0
31,739554,0.452,0.122,1,6,209299,26,1,1,East,0.443,0
42,637879,0.474,0.41,0,2,555245,10,0,1,West,0.919,0
57,668868,0.236,0.424,1,11,465996,14,1,1,North,0.665,0
43,930227,0.282,0.249,0,9,628497,6,0,1,South,0.819,0
22,695514,0.434,0.729,1,4,10000,16,1,1,East,0.684,0
31,799728,0.502,0.625,0,7,242181,5,1,1,South,0.742,0
68,365109,0.194,0.38,0,6,208927,10,0,1,South,0.501,0
69,326151,0.451,0.849,1,1,402436,2,1,1,North,0.776,0
39,1003528,0.374,0.381,0,7,110182,29,0,0,East,0.516,0
60,625225,0.346,0.915,0,6,138371,14,1,1,South,0.899,0
56,444192,0.735,0.684,1,8,308194,14,0,1,North,0.617,0
66,444651,0.102,0.452,0,3,10000,10,1,0,East,0.798,0
64,437719,0.152,0.261,1,10,10000,1,0,0,South,0.51,0
51,422760,0.343,0.06,1,9,276968,15,1,1,East,0.806,0
40,279213,0.273,0.745,1,3,830823,26,1,0,South,0.441,1
51,224894,0.659,0.536,1,7,322704,12,1,0,North,0.454,0
36,551248,0.527,0.26,1,10,224692,12,0,0,South,0.85,0
38,451768,0.296,0.959,1,1,386277,15,0,0,Central,0.835,1
50,876789,0.359,0.186,0,2,415675,17,1,0,South,0.626,0
48,673269,0.268,0.553,1,10,274360,18,1,0,South,0.639,1
49,666329,0.155,0.732,0,1,164766,7,1,1,West,0.674,1
39,414219,0.23,0.839,3,4,10000,5,1,1,West,0.737,1
41,569742,0.367,0.339,0,10,480121,0,0,1,South,0.843,0
21,690250,0.258,0.301,0,9,205858,1,1,0,West,0.643,0
50,779048,0.312,0.181,0,4,394846,2,0,1,West,0.46,0
49,576527,0.662,0.82,1,7,511329,26,0,1,South,0.682,1
66,869780,0.049,0.542,0,9,238620,8,0,0,East,0.584,0
45,601997,0.018,0.217,1,5,10000,23,1,1,South,0.89,0
43,798211,0.42,0.422,0,9,254702,24,1,0,East,0.638,0
24,477536,0.513,0.195,0,10,268898,27,1,1,South,0.873,0
30,146852,0.136,0.641,0,8,399022,29,1,1,South,0.689,1
37,667089,0.255,0.419,0,8,185618,13,1,0,Central,0.597,0
39,781331,0.293,0.819,1,3,175409,3,1,0,West,0.871,0
38,743836,0.237,0.837,1,10,222889,25,0,0,East,0.578,0
40,705546,0.147,0.4,0,5,374379,19,1,0,North,0.694,0
58,512853,0.252,0.44,1,6,479991,14,1,0,North,0.642,0
27,398313,0.221,0.563,1,9,766666,28,1,0,East,0.573,0
37,737932,0.666,0.527,1,4,685780,14,1,0,Central,0.741,0
28,706611,0.359,0.553,1,2,273275,9,0,0,North,0.604,0
36,459775,0.334,0.545,2,1,156236,10,1,1,Central,0.569,0
54,877356,0.31,0.248,1,6,175313,27,0,1,South,0.667,0
23,379283,0.127,0.46,3,7,37470,12,0,1,South,0.602,0
37,454119,0.286,0.815,1,2,324857,13,1,0,East,0.632,0
22,1009106,0.172,0.282,1,7,101919,22,1,0,Central,0.672,0
67,817145,0.455,0.724,1,2,78610,10,1,1,South,0.782,0
56,510497,0.361,0.08,0,7,91802,3,1,1,Central,0.624,0
32,671845,0.119,0.41,0,5,477692,24,0,1,North,0.498,0
30,638698,0.552,0.279,0,11,283484,20,0,1,West,0.769,0
25,120000,0.177,0.028,0,4,27456,3,0,0,West,0.602,0
44,373381,0.24,0.647,1,9,476236,5,0,1,South,0.744,0
57,587288,0.533,0.641,1,10,538243,14,0,0,East,0.858,0
49,510847,0.625,0.788,0,11,208050,9,1,1,Central,0.684,1
64,661775,0.469,0.454,1,6,143289,6,0,0,West,0.56,0
37,882370,0.649,0.715,0,6,125528,27,1,1,Central,0.658,0
34,519616,0.619,0.613,0,9,353049,13,1,1,North,0.575,0
44,335586,0.485,0.253,1,6,482312,0,0,0,South,0.569,0
30,681212,0.407,0.804,0,8,333709,15,1,0,South,0.634,0
68,518344,0.42,0.807,2,6,30865,9,1,0,South,0.507,0
30,560984,0.923,0.133,0,11,512832,18,0,1,Central,0.529,0
44,527056,0.337,0.041,0,11,289139,4,1,1,East,0.792,0
46,1160459,0.13,0.418,0,3,259805,4,0,1,West,0.711,0
23,120000,0.128,0.853,0,2,386205,4,0,1,North,0.736,0
43,502916,0.414,0.792,1,9,508680,24,0,0,East,0.797,0
43,599077,0.486,0.54,0,3,72270,25,1,1,Central,0.415,0
33,404714,0.049,0.397,0,3,31690,27,1,1,South,0.642,0
27,824956,0.396,0.647,1,10,290409,6,0,1,South,0.915,0
23,803314,0.303,0.804,0,10,292766,26,1,0,South,0.944,0
21,588061,0.574,0.798,0,1,480466,3,1,1,West,0.586,0
44,532331,0.539,0.678,2,10,553569,17,1,0,North,0.556,0
25,572010,0.256,0.193,2,11,199392,8,0,1,East,0.38,1
68,573803,0.151,0.46,1,9,365667,20,1,1,North,0.625,1
32,580406,0.272,0.611,2,3,391886,9,0,0,South,0.773,0
52,553000,0.319,0.483,1,4,411358,27,1,1,East,0.822,0
54,663112,0.419,0.64,1,8,10000,16,0,0,South,0.491,0
45,788303,0.283,0.615,1,2,404337,3,1,1,North,0.658,0
64,292434,0.089,0.728,1,10,133711,13,1,0,East,0.607,0
26,337334,0.404,0.493,2,10,414383,21,1,0,South,0.525,0
32,162870,0.401,0.61,1,10,68651,17,0,0,South,0.594,0
33,816599,0.567,0.425,0,7,311719,17,1,1,North,0.812,1
27,662580,0.307,0.628,0,11,238072,14,1,1,North,0.758,0
35,726316,0.524,0.256,4,5,725931,21,1,1,East,0.739,0
36,242625,0.416,0.152,0,4,120628,23,1,0,Central,0.886,0
58,1046237,0.168,0.561,0,5,105602,5,1,0,Central,0.669,0
35,447787,0.097,0.341,1,3,592796,25,0,0,North,0.664,0
63,642051,0.217,0.756,0,2,469489,8,0,1,East,0.75,0
58,813596,0.106,0.678,0,6,347507,2,0,1,Central,0.535,0
65,353255,0.311,0.369,1,8,196050,27,1,1,South,0.81,0
26,463418,0.359,0.789,0,9,61445,1,0,1,West,0.777,1
69,644792,0.248,0.095,0,6,205207,2,1,0,North,0.742,0
51,1314368,0.783,0.236,1,11,184076,19,1,0,Central,0.58,0
69,675281,0.111,0.835,1,11,150934,27,1,1,East,0.788,0
38,1001590,0.329,0.936,1,2,188643,11,0,1,East,0.943,0
67,901418,0.415,0.672,2,8,179325,21,0,0,East,0.765,0
49,692002,0.114,0.772,0,8,484067,22,1,1,Central,0.602,1
24,352701,0.624,0.443,0,11,12808,7,1,1,South,0.952,1
41,864938,0.829,0.808,0,10,370225,27,1,1,South,0.752,0
27,225472,0.479,0.796,1,2,345290,20,1,1,East,0.946,0
67,1000218,0.081,0.697,0,3,278561,22,1,0,Central,0.542,0
35,650001,0.439,0.52,0,8,425207,26,1,0,Central,0.585,0
31,120000,0.302,0.738,1,3,377680,0,1,1,North,0.807,0
48,514873,0.346,0.692,0,9,312041,6,1,0,North,0.292,0
41,763486,0.849,0.128,0,7,512594,0,1,0,West,0.972,1
25,540744,0.271,0.523,0,7,10000,20,1,1,East,0.88,1
61,778751,0.521,0.667,0,10,730214,18,0,0,East,0.586,0
62,387493,0.084,0.386,2,7,526765,28,1,1,East,0.873,0
57,273504,0.447,0.764,0,7,637388,16,1,0,North,0.699,1
51,582138,0.074,0.787,0,2,117783,7,1,0,South,0.655,0
40,607891,0.253,0.595,0,10,307659,21,1,1,South,0.545,0
47,512903,0.525,0.787,1,4,356016,27,1,0,East,0.845,0
46,906822,0.525,0.832,0,4,219727,3,1,0,East,0.794,0
29,387448,0.187,0.65,0,7,330111,3,1,0,West,0.733,0
25,678291,0.357,0.079,0,2,346940,5,1,0,East,0.519,0
33,616992,0.429,0.399,0,6,54642,21,1,1,East,0.769,0
43,210821,0.533,0.781,1,8,443033,11,0,1,North,0.84,0
28,270242,0.342,0.403,0,10,426534,1,0,0,East,0.955,0
26,602977,0.527,0.152,0,3,159454,28,0,0,East,0.671,0
62,1095299,0.616,0.159,1,9,35162,15,0,0,South,0.615,0
39,744817,0.289,0.559,0,9,320863,6,1,0,East,0.536,0
49,168591,0.269,0.7,2,6,131145,1,1,0,North,0.709,1
46,120000,0.218,0.117,2,10,353771,17,0,1,West,0.82,0
57,783263,0.264,0.377,1,7,141324,29,0,1,West,0.989,0
57,575946,0.347,0.533,0,4,599511,8,1,1,North,0.771,1
35,885316,0.223,0.537,1,8,162508,25,1,0,South,0.896,0
62,379820,0.57,0.261,0,7,121219,6,0,1,West,0.718,0
39,687553,0.626,0.686,1,8,304796,25,1,0,North,0.803,0
61,811543,0.411,0.43,0,2,10000,20,0,0,South,0.615,0
40,488134,0.466,0.586,1,8,126836,27,1,0,West,0.737,0
26,493478,0.046,0.633,0,10,10000,16,1,0,South,0.546,0
58,606315,0.357,0.482,2,6,342454,21,0,0,South,0.86,0
22,735669,0.197,0.475,1,6,485536,5,0,0,South,1.0,0
58,596416,0.228,0.595,0,2,214063,8,1,1,Central,0.723,0
23,843499,0.487,0.106,1,4,550864,27,0,0,North,0.634,0
31,484516,0.483,0.103,2,11,129960,29,1,0,South,1.0,0
50,267901,0.325,0.621,2,11,206722,19,0,0,South,0.872,0
67,1094243,0.48,0.675,0,1,478968,10,0,1,Central,0.926,0
41,448841,0.154,0.82,4,8,443220,12,1,1,South,0.76,0
26,457889,0.637,0.516,2,1,391273,26,0,1,Central,0.546,1
32,583549,0.58,0.689,0,8,521988,22,1,0,South,0.668,0
64,616795,0.252,0.927,0,11,289706,22,1,1,South,0.713,1
56,503329,0.234,0.57,1,7,360593,17,1,1,East,0.695,0
25,595641,0.438,0.635,2,6,163765,19,1,0,South,0.536,0
39,590059,0.308,0.841,0,3,685207,23,0,1,South,0.696,0
33,643704,0.139,0.707,0,9,209977,20,1,0,West,0.526,0
29,120000,0.376,0.329,0,11,257405,25,1,0,South,0.499,0
62,1070219,0.142,0.681,0,5,341919,0,0,0,West,0.582,0
51,563177,0.327,0.641,1,8,433431,4,1,1,Central,0.656,0
29,745155,0.086,0.205,2,5,431375,17,0,0,East,0.666,0
52,255474,0.511,0.577,0,3,10000,19,0,1,North,0.679,0
41,482249,0.314,0.681,1,8,653403,2,1,1,North,0.97,0
24,431921,0.392,0.543,2,7,621967,8,1,0,West,0.679,0
43,967430,0.633,0.431,2,6,550475,29,0,0,South,0.421,1
30,453546,0.583,0.429,1,9,329306,25,1,1,South,0.645,0
33,789519,0.493,0.292,0,10,549539,6,1,0,West,0.657,0
64,437394,0.056,0.434,0,3,352414,2,0,1,North,0.354,0
55,486845,0.459,0.403,1,8,349920,25,0,1,South,0.691,0
27,538612,0.685,0.667,0,5,439636,18,0,1,East,0.609,0
62,920961,0.167,0.399,0,6,408683,23,0,0,East,0.677,0
49,127536,0.164,0.439,0,4,504802,0,0,0,South,0.722,0
63,271084,0.331,0.216,0,10,10000,20,0,1,South,0.667,0
57,120000,0.233,0.454,0,1,282247,8,1,0,North,0.669,1
37,328124,0.597,0.573,0,6,55812,17,0,1,East,0.608,0
47,397099,0.139,0.335,1,6,486190,23,1,0,North,0.77,0
47,196379,0.174,0.758,0,4,117550,12,0,0,East,0.625,0
56,416463,0.058,0.295,1,4,243412,23,1,1,North,0.781,0
33,120000,0.26,0.735,2,2,487251,22,0,0,North,0.521,1
37,345502,0.146,0.985,0,2,561658,7,1,0,South,0.622,0
32,900105,0.221,0.479,0,4,476580,11,1,0,South,0.758,0
35,700897,0.322,0.78,1,2,450606,25,1,1,South,0.517,1
28,646866,0.752,0.496,0,7,62543,22,0,1,North,0.602,1
22,349305,0.39,0.47,1,7,96572,15,1,0,Central,0.768,0
67,215978,0.323,0.619,1,11,31921,5,0,1,North,0.572,0
24,315210,0.346,0.626,1,11,88801,0,1,1,North,0.867,0
64,589197,0.603,0.702,0,9,331637,24,0,0,West,0.689,0
21,817044,0.532,0.696,0,6,501105,25,1,0,Central,0.641,0
59,825591,0.644,0.696,0,7,500388,23,0,0,North,0.775,0
37,757653,0.215,0.465,2,1,10000,16,1,0,North,0.697,0
46,415610,0.25,0.394,0,3,292731,22,0,1,East,0.692,0
34,606137,0.175,0.644,1,8,245195,5,1,0,South,0.659,0
45,519664,0.259,0.658,0,8,10000,12,0,0,South,0.665,0
43,549702,0.234,0.291,1,1,465975,10,1,0,North,0.53,0
46,1109281,0.474,0.492,0,6,460397,21,0,1,West,0.784,0
40,159499,0.087,0.567,1,4,178461,27,1,1,North,0.597,0
47,541330,0.337,0.448,1,9,238094,15,0,0,East,0.835,0
61,902937,0.319,0.69,1,7,329098,12,1,0,West,0.547,1
42,233527,0.478,0.809,0,5,382758,8,1,0,North,0.863,0
38,439063,0.224,0.897,0,11,170259,6,0,0,West,0.572,0
27,467740,0.54,0.491,1,6,128188,14,0,0,East,0.798,0
38,544177,0.275,0.253,1,4,82827,4,1,1,East,0.626,0
27,201010,0.242,0.075,0,6,597785,12,1,0,North,0.714,0
29,748821,0.225,0.17,0,11,543914,25,0,1,Central,0.599,0
67,766571,0.131,0.229,0,4,81522,4,0,1,Central,0.569,0
25,727093,0.106,0.328,1,3,120840,6,1,0,South,0.633,0
44,382406,0.534,0.644,0,7,87879,0,1,1,South,0.783,0
61,621627,0.147,0.283,2,4,10000,10,0,0,East,0.783,0
67,375139,0.088,0.631,1,4,690210,19,0,1,West,0.768,0
28,516850,0.366,0.872,1,7,153130,29,0,1,Central,0.722,0
29,1138366,0.433,0.729,1,1,451911,22,0,0,South,0.996,0
39,623923,0.167,0.453,0,10,232278,9,1,0,East,0.565,0
48,303118,0.317,0.304,0,2,256097,9,0,1,South,0.669,1
68,645083,0.321,0.244,1,8,242209,12,0,0,South,0.32,0
31,262051,0.65,0.613,0,6,373499,29,1,0,North,0.75,0
29,300247,0.467,0.436,1,3,263030,10,1,0,South,0.555,0
33,339719,0.69,0.785,1,1,449083,6,1,1,South,0.681,0
63,488922,0.211,0.43,0,3,531097,26,1,0,East,0.579,0
22,834242,0.563,0.588,0,5,175935,18,0,0,East,0.663,0
39,744599,0.326,0.324,0,2,340839,13,0,1,Central,0.709,0
26,730748,0.39,0.691,0,8,10000,24,1,1,East,0.582,1
28,325268,0.055,0.714,1,8,195588,12,0,1,North,0.734,0
65,464671,0.396,0.243,0,6,303646,21,1,1,East,0.624,0
21,668000,0.147,0.676,3,3,260195,9,0,0,North,0.59,1
36,442920,0.106,0.458,0,7,278223,11,1,1,North,0.784,0
65,530408,0.111,0.71,2,9,403326,23,0,1,Central,0.72,1
50,710339,0.118,0.103,2,8,445075,25,1,0,North,0.428,0
24,512806,0.417,0.428,1,5,10000,22,0,1,South,0.639,0
43,656514,0.571,0.39,0,2,336599,22,0,1,Central,0.541,0
68,998182,0.579,0.377,0,6,237042,9,1,1,East,0.885,0
40,557035,0.207,0.364,0,3,203644,7,1,0,South,0.578,0
46,894834,0.222,0.149,0,9,579192,17,1,0,South,0.594,0
47,739842,0.125,0.892,2,5,10000,22,1,0,North,0.694,0
53,233189,0.43,0.538,0,8,289364,24,1,1,West,0.762,0
30,324465,0.312,0.714,1,3,587801,9,1,0,West,0.587,1
62,391601,0.628,0.573,0,3,314396,7,0,1,Central,0.711,0
69,386291,0.371,0.659,0,5,110023,7,1,1,West,0.728,0
27,577427,0.149,0.745,2,9,256723,10,1,1,South,0.444,0
61,753661,0.771,0.826,3,10,654224,11,0,0,North,0.757,0
61,913789,0.61,0.68,0,10,534385,27,1,0,West,0.613,0
57,677043,0.562,0.683,0,2,196397,11,0,1,South,0.518,0
39,488580,0.67,0.429,0,8,606975,1,0,0,South,0.954,1
43,120000,0.121,0.525,0,4,427451,0,0,1,East,0.56,0
62,617647,0.504,0.63,1,3,10000,6,0,1,West,0.8,1
28,606442,0.654,0.277,1,10,278770,7,1,1,West,0.758,0
61,645732,0.293,0.173,1,1,665040,2,1,0,South,0.443,0
66,1126560,0.488,0.078,2,7,268658,20,0,0,North,0.577,0
54,910149,0.201,0.371,0,9,604129,28,1,0,South,0.526,0
37,796265,0.532,0.685,3,11,13100,11,0,0,West,0.821,0
48,359480,0.683,0.434,0,6,38223,8,1,1,South,0.804,0
23,471751,0.268,0.588,1,2,526514,18,1,0,East,0.923,0
66,576288,0.158,0.5,2,5,470421,15,1,1,North,0.543,0
37,406148,0.116,0.425,0,9,294775,19,0,1,West,1.0,1
23,725116,0.446,0.516,1,6,473773,26,0,0,East,0.826,1
59,689227,0.154,0.422,1,10,181467,29,1,0,West,0.933,0
53,327923,0.385,0.23,1,8,74731,7,0,0,South,0.711,0
51,899204,0.174,0.856,0,11,377338,12,1,0,East,0.648,0
23,625577,0.478,0.322,0,7,242617,2,0,0,North,0.564,0
57,167732,0.341,0.415,0,2,383336,17,0,1,South,0.877,1
52,587164,0.338,0.794,1,1,341285,9,0,0,West,0.671,0
59,670301,0.047,0.441,0,6,232969,21,1,0,East,0.673,0
61,843198,0.279,0.671,1,11,676843,14,1,0,West,0.858,0
31,515630,0.461,0.269,1,5,92459,20,1,1,West,0.812,0
31,806984,0.253,0.781,1,1,330610,14,0,0,East,0.661,0
66,646785,0.287,0.427,1,7,281352,15,0,1,South,0.712,0
47,271236,0.112,0.481,0,7,361468,18,1,1,West,0.734,0
42,246208,0.435,0.308,1,1,309331,23,1,0,West,0.702,0
35,880639,0.301,0.292,1,7,515944,3,1,1,East,0.868,0
52,898996,0.08,0.191,0,6,362531,19,1,0,North,0.771,0
57,680727,0.306,0.495,1,2,169867,13,1,1,South,0.646,0
21,973926,0.397,0.853,2,1,94637,20,1,1,South,0.885,0
48,864152,0.286,0.818,0,7,146122,19,0,0,Central,0.602,1
69,770907,0.268,0.859,0,4,137347,8,1,0,West,0.679,1
34,372172,0.383,0.464,1,3,435719,13,0,0,West,0.659,0
34,1032857,0.214,0.201,1,10,283481,23,0,1,South,0.635,0
64,734075,0.369,0.457,1,4,379096,18,0,1,North,0.647,0
24,503540,0.633,0.194,1,6,24479,16,1,1,Central,0.837,0
40,432932,0.416,0.512,0,7,236821,25,0,0,South,0.704,0
43,664195,0.218,0.488,0,10,396627,25,0,1,East,0.951,0
60,182235,0.302,0.26,2,10,508000,1,1,0,West,0.619,0
27,774918,0.287,0.297,1,1,10000,4,1,0,East,0.607,0
42,361607,0.378,0.572,0,4,613586,21,0,1,North,0.501,1
28,692652,0.111,0.435,0,8,588196,11,1,0,South,0.501,0
59,469594,0.168,0.607,0,8,503545,29,0,0,Central,0.581,0
51,533895,0.283,0.763,0,1,553083,21,1,1,East,0.575,0
45,410772,0.695,0.358,0,4,224335,6,0,0,Central,0.61,0
40,559692,0.246,0.17,1,2,140470,27,0,1,North,0.719,0
28,1072344,0.697,0.111,1,2,316982,3,0,0,North,0.575,1
66,946264,0.311,0.173,1,9,360210,25,0,0,East,0.944,0
52,688619,0.101,0.85,0,11,174962,22,1,0,South,0.681,0
36,593676,0.37,0.591,0,1,417853,18,1,0,East,0.817,0
41,811050,0.424,0.295,2,10,581911,2,0,0,South,0.565,0
56,882492,0.389,0.862,0,5,479079,22,0,1,South,0.638,0
56,392545,0.245,0.221,2,10,309445,14,0,0,North,0.742,0
43,580640,0.232,0.138,1,11,10000,12,0,1,East,0.759,0
35,144510,0.326,0.596,0,6,10000,18,0,1,North,0.829,0
53,880775,0.055,0.506,1,2,281195,5,0,1,West,0.501,0
53,1116256,0.166,0.565,0,2,428420,19,0,1,South,1.0,0
50,620020,0.603,0.341,2,11,15576,14,0,1,North,0.936,0
24,120000,0.304,0.539,2,9,319178,15,0,0,West,0.73,1
44,752222,0.387,0.36,0,3,442271,28,0,0,Central,0.748,0
51,373977,0.272,0.094,2,10,287025,11,1,0,North,0.729,0
67,434162,0.051,0.429,0,3,175757,11,0,1,Central,0.553,0
46,756644,0.203,0.796,0,1,10000,25,1,0,South,0.493,0
37,663638,0.588,0.167,1,8,454509,15,0,1,North,0.525,1
48,477972,0.076,0.495,1,7,169109,29,0,1,South,0.506,0
29,437598,0.853,0.91,1,1,629262,28,1,0,East,0.95,0
25,631459,0.52,0.766,1,7,335412,6,0,1,South,0.624,0
54,497633,0.39,0.261,1,8,373849,3,1,0,West,0.863,0
69,322690,0.448,0.923,2,5,466530,5,1,1,North,0.661,0
62,516859,0.294,0.291,3,10,227118,1,0,1,West,0.679,0
49,684898,0.635,0.122,1,5,393979,24,1,1,South,0.662,0
22,555474,0.498,0.827,1,4,170888,18,1,1,Central,0.611,0
69,246622,0.059,0.677,0,8,139879,3,1,0,South,0.96,0
43,847266,0.242,0.396,0,7,117712,10,1,1,North,0.717,0
35,120000,0.292,0.301,1,11,202156,0,0,0,South,0.908,0
64,488408,0.275,0.342,0,4,711696,19,0,0,South,0.732,0
57,444950,0.58,0.672,3,2,119247,25,0,0,South,0.91,0
57,637044,0.169,0.182,3,8,422756,11,1,1,West,0.712,0
34,740415,0.154,0.188,0,11,254603,22,1,1,East,0.658,0
69,881691,0.639,0.484,0,6,72796,15,1,0,Central,0.477,0
43,421898,0.156,0.654,0,7,458287,20,0,1,East,0.81,0
47,746645,0.274,0.072,0,6,199312,28,0,1,East,0.928,0
57,648954,0.133,0.479,1,4,210741,12,1,0,South,0.848,0
53,172115,0.435,0.561,2,1,516611,14,0,0,East,0.635,0
29,1075135,0.39,0.312,3,11,247577,11,1,0,West,0.818,0
35,240306,0.195,0.44,1,8,344778,20,1,0,North,0.54,0
38,704874,0.244,0.493,1,9,294445,12,0,1,North,0.547,0
67,697489,0.258,0.724,1,6,281212,29,0,0,South,0.595,0
56,668909,0.262,0.554,0,5,36071,19,1,0,East,0.597,0
38,476355,0.475,0.359,0,4,471587,11,1,0,East,0.787,0
57,806813,0.136,0.392,2,3,344397,13,1,1,South,0.823,0
57,209908,0.386,0.568,1,6,462757,0,0,0,South,0.638,0
40,583542,0.024,0.777,2,2,323064,15,0,1,North,0.938,0
40,459031,0.46,0.33,1,4,511226,21,0,1,South,0.623,0
64,430675,0.3,0.377,1,11,330322,6,1,0,South,0.875,0
48,707186,0.079,0.649,0,3,574441,19,1,0,East,0.645,0
28,869369,0.258,0.137,1,4,118893,16,1,1,West,0.702,0
56,514186,0.24,0.556,1,2,141880,10,1,0,East,0.71,0
49,795170,0.347,0.389,4,10,657416,24,0,0,East,0.825,0
45,612435,0.027,0.904,1,3,465410,21,1,1,South,0.67,0
56,376816,0.602,0.331,0,9,673115,5,0,0,South,0.448,0
65,535511,0.187,0.084,0,2,422585,22,1,0,East,0.815,0
37,525128,0.088,0.185,1,4,244385,6,1,0,East,0.699,0
41,425835,0.229,0.114,2,1,673462,6,1,0,South,0.961,0
30,707120,0.238,0.361,2,8,10000,16,1,1,West,0.506,0
52,658661,0.171,0.448,1,9,459977,5,0,1,West,0.669,1
40,202337,0.168,0.586,0,10,10000,1,1,1,Central,0.458,0
37,187118,0.052,0.183,1,2,601248,20,1,0,West,0.715,0
55,706171,0.401,0.832,3,10,94471,22,0,0,North,0.715,0
40,396178,0.074,0.435,0,5,238760,12,1,0,South,0.91,0
43,675510,0.225,0.032,0,2,106600,9,0,1,North,0.773,0
42,795232,0.544,0.435,0,8,418430,3,1,1,West,0.624,0
33,282261,0.158,0.149,0,4,263043,23,1,1,West,0.713,0
27,247115,0.374,0.432,1,8,576422,3,1,1,South,0.847,1
61,1018607,0.213,0.696,0,5,168195,16,1,0,North,0.436,0
25,687892,0.42,0.359,0,1,63834,0,1,1,South,0.781,0
36,495189,0.422,0.285,0,10,205830,17,0,1,North,0.593,0
53,366514,0.438,0.825,0,10,627585,2,0,0,North,0.645,0
27,472389,0.574,0.565,0,7,508605,3,1,0,North,0.703,0
53,302356,0.156,0.334,0,1,531345,20,0,1,North,0.472,1
56,820853,0.256,0.635,0,6,189780,9,1,1,West,0.474,0
53,405812,0.404,0.452,1,6,36059,28,1,0,North,0.798,0
35,873383,0.086,0.488,0,9,584319,18,0,0,South,0.636,1
21,499842,0.246,0.836,1,10,24493,23,0,1,South,0.694,0
64,339162,0.165,0.481,1,11,301219,4,1,0,South,0.734,0
37,493424,0.781,0.782,1,6,166971,14,0,1,South,0.513,0
60,120000,0.822,0.42,2,9,315079,13,1,0,South,0.588,0
30,569807,0.116,0.907,0,11,10000,20,0,0,West,0.566,0
28,557470,0.484,0.156,0,4,470139,0,0,1,East,0.351,0
59,806185,0.23,0.442,4,8,574100,17,0,1,South,0.67,0
67,128423,0.611,0.167,0,11,508941,25,0,1,South,0.675,1
63,890466,0.367,0.189,1,4,77450,6,0,1,South,0.771,1
57,805149,0.336,0.219,0,2,386849,8,1,0,South,0.753,0
